,Group,Deelnemer,T1_KQ_Total_Score,T2_KQ_Total_Score,Score_Difference,T-Test Statistic,T-Test P-Value,T-Test P-Value Corrected,Mann-Whitney Statistic,Mann-Whitney P-Value,Mann-Whitney P-Value Corrected
18,Intervention,2018024,9,17,8,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
19,Intervention,2018025,16,19,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
20,Intervention,2018028,10,14,4,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
21,Intervention,2018029,8,13,5,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
22,Intervention,2018030,3,7,4,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
23,Intervention,2018031,11,11,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
24,Intervention,2018032,14,14,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
25,Intervention,2018033,11,15,4,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
26,Intervention,2018034,9,17,8,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
27,Intervention,2019001,11,15,4,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
28,Intervention,2019002,2,13,11,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
29,Intervention,2019003,9,17,8,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
30,Intervention,2019004,9,9,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
31,Intervention,2019005,11,14,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
32,Intervention,2019006,8,11,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
33,Intervention,2019007,4,14,10,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
34,Intervention,2019008,0,0,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
35,Intervention,2019009,6,9,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
36,Intervention,2019011,13,15,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
37,Intervention,2019012,9,9,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
38,Intervention,2019013,3,9,6,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
39,Intervention,2019018,10,12,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
40,Intervention,2019019,9,12,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
41,Intervention,2019020,8,9,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
42,Intervention,2019021,8,10,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
43,Intervention,2019022,8,14,6,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
44,Intervention,2019023,13,14,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
45,Intervention,2019024,6,9,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
46,Intervention,2019029,12,15,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
47,Intervention,2019030,12,13,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
48,Intervention,2019031,13,12,-1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
49,Intervention,2019032,5,8,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
50,Intervention,2019033,15,18,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
51,Intervention,2019039,9,14,5,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
52,Intervention,2019040,6,7,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
53,Intervention,2019041,8,12,4,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
54,Intervention,2019042,13,10,-3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
55,Intervention,2019043,13,14,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
56,Intervention,2019044,11,12,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
57,Intervention,2019045,11,14,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
58,Intervention,2019046,0,7,7,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
59,Intervention,2019049,10,13,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
60,Intervention,2019054,11,11,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
61,Intervention,2019055,12,10,-2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
62,Intervention,2019056,14,12,-2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
63,Intervention,2019057,9,10,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
64,Intervention,2019058,10,10,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
65,Intervention,2019059,8,13,5,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
66,Intervention,2019060,9,9,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
67,Intervention,2019061,13,13,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
68,Intervention,2019062,12,13,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
69,Intervention,2019063,0,14,14,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
70,Intervention,2019064,14,0,-14,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
71,Intervention,2019068,12,18,6,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
72,Intervention,2019071,12,18,6,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
73,Intervention,2019076,13,16,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
74,Intervention,2019078,0,17,17,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
75,Intervention,2019079,12,17,5,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
76,Intervention,2019080,5,9,4,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
77,Intervention,2019081,7,6,-1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
78,Intervention,2019082,6,10,4,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
79,Intervention,2019083,9,10,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
